player_id,display_name,season,age,position,college_name,draft_year,draft_round,height,weight,games,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_epa,fantasy_points,fantasy_points_ppr
00-0000210,James Allen,2000,25,RB,Oklahoma,,,70.0,215.0,16,286,1106.0,2,56.0,-40.359270081940984,5.0,39,60,291.0,1,-11.584554600663528,149.70000000000002,188.70000000000002
00-0000210,James Allen,2001,26,RB,Oklahoma,,,70.0,215.0,16,135,469.0,1,26.0,-12.313432965466074,1.0,30,42,203.0,1,-1.915430411437514,79.2,109.2
00-0000210,James Allen,2002,27,RB,Oklahoma,,,70.0,215.0,16,155,519.0,0,20.0,-35.27355111699415,1.0,47,57,302.0,0,-7.472204928325292,86.30000000000001,133.3
00-0000232,Terry Allen,2001,33,RB,Clemson,1990.0,9.0,71.0,208.0,11,168,658.0,3,32.0,-17.96830901919822,1.0,17,20,68.0,0,-3.4285033569321968,88.6,105.6
00-0000279,Kimble Anders,2000,34,RB,Houston,,,71.0,218.0,11,75,329.0,2,14.0,-10.427899975407035,1.0,15,19,76.0,0,-1.720183442812413,50.50000000000001,65.5
00-0000316,Jamal Anderson,2000,28,RB,Utah; Moorpark College,1994.0,7.0,71.0,237.0,16,280,1013.0,6,53.0,-47.46776982113748,6.0,41,56,375.0,0,-7.137547220779095,168.8,209.8
00-0000316,Jamal Anderson,2001,29,RB,Utah; Moorpark College,1994.0,7.0,71.0,237.0,3,55,190.0,1,8.0,-10.318041907510473,1.0,3,4,111.0,1,7.392876459984109,40.1,43.1
00-0000534,Darnell Autry,2000,24,RB,Northwestern,1997.0,4.0,70.0,210.0,11,110,324.0,3,16.0,-17.163757359941133,2.0,24,37,275.0,1,8.917144395818468,81.9,105.9
00-0000745,Tiki Barber,2000,25,RB,Virginia,1997.0,2.0,70.0,205.0,16,212,1007.0,8,38.0,-20.370449432949222,5.0,69,92,701.0,1,18.844188418331743,218.8,287.8
00-0000745,Tiki Barber,2001,26,RB,Virginia,1997.0,2.0,70.0,205.0,14,166,865.0,4,40.0,8.25984092860017,3.0,72,98,577.0,0,9.137257988657698,168.20000000000002,240.20000000000002
00-0000745,Tiki Barber,2002,27,RB,Virginia,1997.0,2.0,70.0,205.0,16,304,1387.0,11,67.0,-36.867407483716676,5.0,69,95,597.0,0,-3.903528479132433,252.4,321.4
00-0000745,Tiki Barber,2003,28,RB,Virginia,1997.0,2.0,70.0,205.0,16,278,1215.0,2,66.0,-36.568614779016116,6.0,69,69,461.0,1,18.725704535206788,175.60000000000002,244.6
00-0000745,Tiki Barber,2004,29,RB,Virginia,1997.0,2.0,70.0,205.0,16,322,1518.0,13,77.0,-1.2163518727413747,5.0,52,52,578.0,2,37.658464225478525,295.6,347.6
00-0000745,Tiki Barber,2005,30,RB,Virginia,1997.0,2.0,70.0,205.0,16,357,1860.0,9,72.0,9.289182902730705,1.0,54,54,530.0,2,43.34500660246704,305.0,359.0
00-0000745,Tiki Barber,2006,31,RB,Virginia,1997.0,2.0,70.0,205.0,16,327,1662.0,5,78.0,10.52476803428159,3.0,58,62,465.0,0,19.65587908791289,240.7,298.7
00-0001098,Brandon Bennett,2000,27,RB,South Carolina,,,71.0,220.0,15,89,322.0,3,17.0,-19.24357069233919,1.0,19,29,168.0,0,-2.892639698809944,65.0,84.0
00-0001098,Brandon Bennett,2001,28,RB,South Carolina,,,71.0,220.0,15,50,232.0,0,15.0,0.6099940632120706,1.0,20,26,150.0,0,2.4424955548602156,38.2,58.2
00-0001098,Brandon Bennett,2003,30,RB,South Carolina,,,71.0,220.0,14,56,173.0,0,11.0,-14.808068378073605,1.0,25,25,176.0,1,5.997735815853045,38.900000000000006,63.9
00-0001215,Jerome Bettis,2000,28,RB,Notre Dame,1993.0,1.0,71.0,255.0,16,352,1302.0,8,70.0,-8.355010060368095,1.0,13,19,97.0,0,3.5038373533752747,185.9,198.9
00-0001215,Jerome Bettis,2001,29,RB,Notre Dame,1993.0,1.0,71.0,255.0,11,225,1072.0,4,46.0,-5.57735079709324,3.0,8,10,48.0,0,1.0230617294437252,141.28,149.28
00-0001215,Jerome Bettis,2002,30,RB,Notre Dame,1993.0,1.0,71.0,255.0,12,187,666.0,9,42.0,-4.587532212251716,1.0,7,9,57.0,0,2.7800319837406278,124.30000000000001,131.3
00-0001215,Jerome Bettis,2003,31,RB,Notre Dame,1993.0,1.0,71.0,255.0,16,246,811.0,7,43.0,-31.555709337124632,4.0,13,13,86.0,0,5.46842167142313,125.7,138.70000000000002
00-0001215,Jerome Bettis,2004,32,RB,Notre Dame,1993.0,1.0,71.0,255.0,14,250,941.0,13,50.0,-4.51607784986662,1.0,6,6,46.0,0,2.087503357848618,181.10000000000002,187.10000000000002
00-0001215,Jerome Bettis,2005,33,RB,Notre Dame,1993.0,1.0,71.0,255.0,12,110,368.0,9,30.0,4.626812740197628,0.0,4,4,40.0,0,3.3992817635880783,94.80000000000001,98.80000000000001
00-0001224,Tim Biakabutuka,2000,26,RB,Michigan,1996.0,1.0,72.0,215.0,12,171,635.0,2,29.0,-18.41155248414725,1.0,34,57,341.0,2,2.160077464073406,115.60000000000001,149.6
00-0001224,Tim Biakabutuka,2001,27,RB,Michigan,1996.0,1.0,72.0,215.0,5,53,230.0,1,9.0,-6.1305918632715475,1.0,12,17,121.0,0,-5.041434929706156,39.1,51.1
00-0002159,Shawn Bryson,2000,24,RB,Tennessee,1999.0,3.0,73.0,230.0,15,154,589.0,0,30.0,-25.856033006013668,0.0,30,43,222.0,2,-3.2333444201744834,95.10000000000001,125.1
00-0002159,Shawn Bryson,2001,25,RB,Tennessee,1999.0,3.0,73.0,230.0,8,80,341.0,2,9.0,-9.328023215583663,0.0,9,11,59.0,0,-0.0169160352088511,52.0,61.0
00-0002159,Shawn Bryson,2003,27,RB,Tennessee,1999.0,3.0,73.0,230.0,16,158,606.0,3,31.0,-15.549618616665127,2.0,54,54,340.0,0,-1.5981533351755224,112.60000000000001,166.6
00-0002159,Shawn Bryson,2004,28,RB,Tennessee,1999.0,3.0,73.0,230.0,16,50,264.0,0,15.0,2.3347385636589024,0.0,44,44,322.0,0,4.296338563676302,56.6,100.6
00-0002159,Shawn Bryson,2005,29,RB,Tennessee,1999.0,3.0,73.0,230.0,16,64,306.0,1,12.0,-3.889059567595998,0.0,37,37,284.0,0,7.6871937917720246,63.00000000000001,100.0
00-0002743,Ki-Jana Carter,2001,28,RB,Penn State,1995.0,1.0,70.0,226.0,13,63,308.0,3,18.0,6.516221914636448,0.0,13,21,83.0,0,-9.803595925398255,57.1,70.10000000000001
00-0003663,Zack Crockett,2001,29,RB,Florida State; Hinds CC,1995.0,3.0,74.0,240.0,14,57,145.0,6,26.0,3.4229314879774777,1.0,2,3,10.0,0,-0.34095424809493124,49.5,51.5
00-0003663,Zack Crockett,2005,33,RB,Florida State; Hinds CC,1995.0,3.0,74.0,240.0,15,60,208.0,1,12.0,-10.587253384350333,0.0,13,13,111.0,0,5.517316040059086,37.900000000000006,50.900000000000006
